Category Order #,Feed ID,Feed Title,Guided Prayer Title,Guided Prayer Description,Create / ReCreate?,Guided Prayer Description Formatted
1,3793,Abiding & Presence,Abiding - John 15:7,"If you remain in me and my words remain in you, ask whatever you wish, and it will be done for you.",1,"If you remain in me and my words remain in you, ask whatever you wish, and it will be done for you."
2,3793,Abiding & Presence,Abiding - Psalm 16:11,You fill me with joy in your presence.,1,You fill me with joy in your presence.
3,3793,Abiding & Presence,Abiding - 1 Thessalonians 5:17,Pray continually.,1,Pray continually.
4,3793,Abiding & Presence,Abiding - Pray & Pause,"Pray each line and pause to receive silently:

Fill my heart with Your love.

Fill my soul with Your peace.

Fill my mind with Your wisdom.

Fill my ears with Your voice.

Fill my eyes with Your compassion.

Fill my mouth with Your words of life.

May my hands be found serving.

May my knees bow in surrender.

May my feet walk in obedience.",1,Pray each line and pause to receive silently:\n\nFill my heart with Your love.\n\nFill my soul with Your peace.\n\nFill my mind with Your wisdom.\n\nFill my ears with Your voice.\n\nFill my eyes with Your compassion.\n\nFill my mouth with Your words of life.\n\nMay my hands be found serving.\n\nMay my knees bow in surrender.\n\nMay my feet walk in obedience.
5,3793,Abiding & Presence,Waiting - Psalm 27:14,"Wait for the LORD; be strong and take heart and wait for the LORD.
",1,Wait for the LORD; be strong and take heart and wait for the LORD.\n
6,3793,Abiding & Presence,Waiting - Lamentations 3:25-26,"The LORD is good to those whose hope is in him, to the one who seeks him; it is good to wait quietly for the salvation of the LORD.",1,"The LORD is good to those whose hope is in him, to the one who seeks him; it is good to wait quietly for the salvation of the LORD."
7,3793,Abiding & Presence,Waiting - Silence,"Practice silence before God:

Try to quiet your heart for several minutes.
 
When you feel you can increase your focus and silence, expand to a few more minutes. 

Steady your mind on the love and presence of God.",1,"Practice silence before God:\n\nTry to quiet your heart for several minutes.\n \nWhen you feel you can increase your focus and silence, expand to a few more minutes. \n\nSteady your mind on the love and presence of God."
8,3793,Abiding & Presence,Release - 1 Peter 5:7,Cast all your anxiety on him because he cares for you.,1,Cast all your anxiety on him because he cares for you.
9,3793,Abiding & Presence,Release  - Psalm 94:19,"When anxiety was great within me, your consolation brought me joy.",1,"When anxiety was great within me, your consolation brought me joy."
10,3793,Abiding & Presence,Release - Zephaniah 3:17,"He will take great delight in you; in his love, he will no longer rebuke you, but will rejoice over you with singing.",1,"He will take great delight in you; in his love, he will no longer rebuke you, but will rejoice over you with singing."
11,3793,Abiding & Presence,Release - Hands Down,"Hold your hands downward quietly for 60 seconds, releasing what you are carrying

Fear, Worries, Difficult People, Difficult Situations, Stress, Overwhelming Pressure, Sadness, Guilt and Shame, Hopelessness",1,"Hold your hands downward quietly for 60 seconds, releasing what you are carrying\n\nFear, Worries, Difficult People, Difficult Situations, Stress, Overwhelming Pressure, Sadness, Guilt and Shame, Hopelessness"
12,3793,Abiding & Presence,Release - Hands Up,"Hold your hands upward quietly for 60 seconds, receiving grace from heaven: 

Peace, Rest, Joy, Love of God, Forgiveness, Presence of Jesus, Strength of Heaven, Mercy of Christ, Filling of the Holy Spirit, Wisdom of Heaven",1,"Hold your hands upward quietly for 60 seconds, receiving grace from heaven: \n\nPeace, Rest, Joy, Love of God, Forgiveness, Presence of Jesus, Strength of Heaven, Mercy of Christ, Filling of the Holy Spirit, Wisdom of Heaven"
13,3793,Abiding & Presence,Listening - Psalm 25:14,The LORD confides in those who fear him.,1,The LORD confides in those who fear him.
14,3793,Abiding & Presence,Listening - John 10:27,"My sheep listen to my voice; I know them, and they follow me.",1,"My sheep listen to my voice; I know them, and they follow me."
15,3793,Abiding & Presence,Listening - Isaiah 30:21,"Your ears will hear a voice behind you, saying, “This is the way; walk in it.”",1,"Your ears will hear a voice behind you, saying, “This is the way; walk in it.”"
16,3793,Abiding & Presence,Listening - 1 Samuel 3:10,"Speak [Lord], for your servant is listening.",1,"Speak [Lord], for your servant is listening."
17,3793,Abiding & Presence,"Listening - Still, Small Voice","Father, please quiet...

the voices of the world, 
the voices of my own heart, 
the voices of the enemy...

So I can hear your still small voice",1,"Father, please quiet...\n\nthe voices of the world, \nthe voices of my own heart, \nthe voices of the enemy...\n\nSo I can hear your still small voice"
18,3793,Abiding & Presence,Listening - Hearing From God,"Take a quiet minute with each question:

Father, what can I do to please You today? 

Jesus, who do I need to pray for today? 

What am I holding on to that I need to give up today? 

Is there anything else You want to say to me? ",1,"Take a quiet minute with each question:\n\nFather, what can I do to please You today? \n\nJesus, who do I need to pray for today? \n\nWhat am I holding on to that I need to give up today? \n\nIs there anything else You want to say to me? "
19,3793,Abiding & Presence,Presence - 1 Chronicles 16:11,Look to the LORD and his strength; seek his face always.,1,Look to the LORD and his strength; seek his face always.
20,3793,Abiding & Presence,Presence - Psalm 16:11,"You will fill me with joy in your presence. 
",1,You will fill me with joy in your presence. \n
21,3793,Abiding & Presence,Presence - Psalm 23:4,"I will fear no evil, for you are with me.",1,"I will fear no evil, for you are with me."
22,3793,Abiding & Presence,Presence - Matthew 28:20,And surely I am with you always.,1,And surely I am with you always.
23,3793,Abiding & Presence,"Jesus, come","Jesus come into my thoughts.  
Jesus come into my heart. 
Jesus come into my work. 
Jesus come into my home.
Jesus come into my family.  
Jesus come into my friendships.
Jesus come into my future. 
Jesus come into my past. 
Jesus come into my present.",1,Jesus come into my thoughts.  \nJesus come into my heart. \nJesus come into my work. \nJesus come into my home.\nJesus come into my family.  \nJesus come into my friendships.\nJesus come into my future. \nJesus come into my past. \nJesus come into my present.
24,3793,Abiding & Presence,For the Mind - Hebrews 3:1,Fix your thoughts on Jesus.,1,Fix your thoughts on Jesus.
25,3793,Abiding & Presence,For the Mind - 1 Corinthians 2:16,We have the mind of Christ.,1,We have the mind of Christ.
26,3793,Abiding & Presence,For the Mind - Philippians 4:8,Whatever is true ... noble ... right ... pure ... lovely ... think about such things.,1,Whatever is true ... noble ... right ... pure ... lovely ... think about such things.
27,3793,Abiding & Presence,For the Mind - 2 Corinthians 10:5,We take captive every thought to make it obedient to Christ.,1,We take captive every thought to make it obedient to Christ.
28,3793,Abiding & Presence,For the Mind - Taking Thoughts Captive,"Prayerfully pay attention to the negative thoughts that have been recurring in your mind this week. 

Identify the lies you have been believing about yourself.   

Find Scriptures to refute them with truth.

Record these truths somewhere.

Repeat them out loud several times throughout the day today.",1,Prayerfully pay attention to the negative thoughts that have been recurring in your mind this week. \n\nIdentify the lies you have been believing about yourself.   \n\nFind Scriptures to refute them with truth.\n\nRecord these truths somewhere.\n\nRepeat them out loud several times throughout the day today.
29,3793,Abiding & Presence,Evening - Psalm 141:2,"Let my prayer be as the evening sacrifice that burns like fragrant incense, rising as my offering to you.",1,"Let my prayer be as the evening sacrifice that burns like fragrant incense, rising as my offering to you."
30,3793,Abiding & Presence,Evening - Psalm 63:6-7,"I think of you through the watches of the night. Because you are my help, I sing in the shadow of your wings.",1,"I think of you through the watches of the night. Because you are my help, I sing in the shadow of your wings."
31,3793,Abiding & Presence,Evening - Reflect and Worship,"Reflect: On God’s goodness

Release: All anxieties

Receive: The presence and grace of God

Remember: The love God has for you",1,Reflect: On God’s goodness\n\nRelease: All anxieties\n\nReceive: The presence and grace of God\n\nRemember: The love God has for you
